State,Year,HPI with base 2019,School closing,Workplace closing,Cancel public event,Restriction on gathering,Close public transport,State at home requirement,Restrictions on internal movement,International travel control
Florida,2022,45.67095164,0.454794521,0,0.391780822,0,0,0,0.356164384,1
Georgia,2019,100,0,0,0,0,0,0,0,0
Georgia,2020,104.1059405,1.926229508,1.079234973,1.540983607,2.508196721,0.775956284,0.87431694,0.795081967,2.702185792
Georgia,2021,117.5509247,1.145205479,0.663013699,0.682191781,0.797260274,0.309589041,0.265753425,0.950684932,2.890410959
Georgia,2022,141.6624052,1,0,0,0,0,0,0.356164384,1
Hawaii,2019,226.4041592,0,0,0,0,0,0,0,0
Hawaii,2020,100,1.980874317,1.699453552,1.262295082,3.081967213,0.459016393,1.431693989,1.56284153,2.702185792
Hawaii,2021,107.9776318,1.460273973,1.515068493,1.821917808,3.835616438,0.202739726,0.712328767,0.906849315,2.890410959
Hawaii,2022,128.3660635,1,0.961643836,0.104109589,0.569863014,0,0,0.356164384,1
Idaho,2019,61.48820395,0,0,0,0,0,0,0,0
Idaho,2020,66.82043268,1.844262295,1.636612022,1.109289617,2.792349727,0.101092896,0.871584699,1.234972678,2.702185792
Idaho,2021,100,0.846575342,0.701369863,0.706849315,1.210958904,0,0.249315068,1,2.890410959
Idaho,2022,120.0213225,0.194520548,0,0,0,0,0,0.421917808,1
Illinois,2019,55.9026504,0,0,0,0,0,0,0,0
Illinois,2020,56.49532282,1.590163934,1.180327869,1.183060109,2.833333333,0,1.054644809,1.549180328,2.702185792
Illinois,2021,60.87330337,1.397260274,0.430136986,0.712328767,1.416438356,0,0.44109589,1.120547945,2.890410959
Illinois,2022,100,0.15890411,0,0,0,0,0,0.356164384,1
Indiana,2019,77.59833465,0,0,0,0,0,0,0,0
Indiana,2020,80.73933554,2.038251366,1.213114754,1.150273224,2.726775956,0.174863388,0.841530055,0.879781421,2.702185792
Indiana,2021,90.41079793,1.846575342,0.495890411,0.619178082,1.8,0,0.249315068,1.032876712,2.890410959
Indiana,2022,104.1784881,0.150684932,0,0,0,0,0,0.356164384,1
Iowa,2019,100,0,0,0,0,0,0,0,0
Iowa,2020,101.7129712,1.942622951,1.147540984,1.005464481,1.12568306,0.379781421,0.781420765,0.795081967,2.702185792
Iowa,2021,109.8959264,1.084931507,0.301369863,0.619178082,0,0,0.249315068,0.597260274,2.890410959
Iowa,2022,123.8252635,0.219178082,0,0,0,0,0,0.356164384,1
Kansas,2019,95.47302126,0,0,0,0,0,0,0,0
Kansas,2020,100,2.032786885,1.12295082,1.150273224,2.680327869,0.786885246,0.852459016,0.795081967,2.702185792
Kansas,2021,110.5310551,0.816438356,1.065753425,0.753424658,0.726027397,0.410958904,0.767123288,0.723287671,2.890410959
Kansas,2022,126.0147228,0.02739726,0.02739726,0,0,0,0,0.356164384,1
Kentucky,2019,110.9947998,0,0,0,0,0,0,0,0
Kentucky,2020,115.0784539,1.99726776,1.273224044,1.106557377,3.087431694,1.530054645,0.923497268,0.909836066,2.702185792
Kentucky,2021,100,1.189041096,0.947945205,1,1.22739726,0.621917808,0.249315068,0.824657534,2.890410959
Kentucky,2022,114.2753212,0.084931507,0,0.084931507,0,0,0,0.356164384,1
Louisiana,2019,86.79821137,0,0,0,0,0,0,0,0
Louisiana,2020,88.70927674,2.024590164,1.445355191,1.316939891,2.702185792,0.792349727,0.920765027,0.795081967,2.702185792
Louisiana,2021,93.84093974,1.731506849,1.854794521,1.591780822,2.421917808,0.791780822,1.01369863,0.975342466,2.890410959
Louisiana,2022,100,0.197260274,0.17260274,0.167123288,0.010958904,0,1,0.257534247,1
Maine,2019,121.2799479,0,0,0,0,0,0,0,0
Maine,2020,127.0922885,1.734972678,1.56010929,1.385245902,2.603825137,1.207650273,0.953551913,1.540983607,2.702185792
Maine,2021,145.5996438,1.076712329,0.301369863,0.619178082,1.208219178,0.063013699,0.394520548,1.180821918,2.890410959
Maine,2022,171.9281421,0.810958904,0,0,0,0,0,0.356164384,1
Maryland,2019,100,0,0,0,0,0,0,0,0
Maryland,2020,102.5445547,2.030054645,1.461748634,1.612021858,2.806010929,0.530054645,0.928961749,1.109289617,2.702185792
Maryland,2021,112.2664988,1.61369863,0.41369863,0.693150685,1.246575342,0,0.545205479,0.630136986,2.890410959
Maryland,2022,125.2967932,0.317808219,0,0,0,0,0,0.356164384,1
Massachusetts,2019,156.4436307,0,0,0,0,0,0,0,0
Massachusetts,2020,100,2.095628415,1.765027322,1.169398907,2.702185792,0.765027322,0.775956284,0.972677596,2.702185792
Massachusetts,2021,110.9521867,1.345205479,0.810958904,0.838356164,1.621917808,1,0.249315068,0.657534247,2.890410959
Massachusetts,2022,125.5950059,0.315068493,0,0,0,0.276712329,0,0.356164384,1
Michigan,2019,44.6582485,0,0,0,0,0,0,0,0
Michigan,2020,46.06728621,2.057377049,1.464480874,1.265027322,3.019125683,0.792349727,0.967213115,0.983606557,2.702185792
Michigan,2021,100,1.509589041,0.82739726,0.619178082,1.624657534,0.41369863,0.249315068,0.643835616,2.890410959
Michigan,2022,113.334829,0.369863014,0,0,0,0,0,0.356164384,1
Minnesota,2019,111.1776482,0,0,0,0,0,0,0,0
Minnesota,2020,114.1614607,2.084699454,1.254098361,1.43715847,2.691256831,0.114754098,0.945355191,0.836065574,2.702185792
Minnesota,2021,125.1389224,1.326027397,0.410958904,0.62739726,1.408219178,0.402739726,0.402739726,0.463013699,2.890410959
Minnesota,2022,100,0,0,0,0,0,0,0.356164384,1
Mississippi,2019,42.7233394,0,0,0,0,0,0,0,0
Mississippi,2020,43.75460937,1.923497268,1.019125683,0.986338798,2.928961749,0,0.907103825,0.795081967,2.702185792
Mississippi,2021,47.47283544,1.509589041,0.301369863,0.619178082,0.668493151,0,0.249315068,1,2.890410959
Mississippi,2022,54.20866316,1,0,0,0,0,0,0.44109589,1
Missouri,2019,100,0,0,0,0,0,0,0,0
Missouri,2020,103.7546102,2.032786885,1.071038251,1.521857923,2.483606557,0,1.054644809,0.795081967,2.702185792
Missouri,2021,115.4108414,1,0.339726027,0.843835616,1.263013699,0,0.82739726,0.846575342,2.890410959
Missouri,2022,133.0753066,0,0,0,0,0,0,0.356164384,1
Montana,2019,163.8776911,0,0,0,0,0,0,0,0
Montana,2020,100,1.754098361,1.095628415,0.975409836,2.581967213,0.489071038,1.50273224,0.795081967,2.702185792
Montana,2021,116.3880185,1.087671233,0.493150685,0.619178082,1.232876712,0,0.41369863,0.816438356,2.890410959
Montana,2022,140.4699837,0.742465753,0,0,0,0,0,0.356164384,1
Nebraska,2019,63.67213937,0,0,0,0,0,0,0,0
Nebraska,2020,65.64857752,1.743169399,1.06284153,1.330601093,1.972677596,0.792349727,0.781420765,0.795081967,2.702185792
Nebraska,2021,100,0.578082192,0.301369863,0.619178082,0,0.084931507,0.854794521,0.602739726,2.890410959
Nebraska,2022,114.5630062,0.232876712,0,0,0,0,0,0.356164384,1
Nevada,2019,122.7796294,0,0,0,0,0,0,0,0
Nevada,2020,126.5529211,2.387978142,1.31420765,1.316939891,2.453551913,0,0.887978142,0.795081967,2.702185792
Nevada,2021,146.6472102,1.391780822,0.684931507,0.619178082,1.652054795,0,0.249315068,0.720547945,2.890410959
Nevada,2022,100,0,0,0,0,0,0,0.356164384,1
New Hampshire,2019,73.83307789,0,0,0,0,0,0,0,0
New Hampshire,2020,77.54831904,2.038251366,1.177595628,1.046448087,0.978142077,0.581967213,0.986338798,0.923497268,2.702185792
New Hampshire,2021,88.56466092,1.180821918,1,1,0,0,0.347945205,0.64109589,2.890410959
New Hampshire,2022,102.9489042,0.191780822,0.339726027,0.035616438,0,0,0,0.356164384,1
New Jersey,2019,100,0,0,0,0,0,0,0,0
New Jersey,2020,103.240838,2.068306011,1.592896175,1.038251366,2.726775956,0.259562842,1.027322404,0.795081967,2.702185792
New Jersey,2021,114.3983685,1.564383562,0.463013699,0.619178082,1.468493151,0.142465753,0.260273973,0.438356164,2.890410959
New Jersey,2022,131.5122675,0.123287671,0.164383562,0,0,0,0,0.356164384,1
New Mexico,2019,67.01192757,0,0,0,0,0,0,0,0
New Mexico,2020,100,2.024590164,1.792349727,1.612021858,3.18579235,1.584699454,0.795081967,1.56010929,2.702185792
New Mexico,2021,111.3556726,1.290410959,1.169863014,0.852054795,1.715068493,0.805479452,0.391780822,0.561643836,2.890410959
New Mexico,2022,127.7244634,0.043835616,0,0,0,0,0,0.356164384,1
New York,2019,142.6616894,0,0,0,0,0,0,0,0
New York,2020,147.3965945,2.051912568,2.038251366,1.508196721,2.885245902,0.81420765,1.027322404,1.31420765,2.732240437
New York,2021,100,1.64109589,0.808219178,0.589041096,1.476712329,0.336986301,0.260273973,0.695890411,2.890410959
New York,2022,112.7738342,0.490410959,0.654794521,0,0,0,0,0.356164384,1
North Carolina,2019,57.10276291,0,0,0,0,0,0,0,0
North Carolina,2020,59.39609042,1.980874317,1.699453552,0.967213115,2.819672131,0.795081967,0.989071038,0.948087432,2.702185792
North Carolina,2021,67.0754614,1.178082192,0.945205479,0.97260274,1.273972603,1,0.775342466,0.863013699,2.890410959
North Carolina,2022,100,0,0,0,0,0.446575342,0,0.356164384,1
North Dakota,2019,72.77147706,0,0,0,0,0,0,0,0
North Dakota,2020,73.52576709,2.019125683,0.918032787,0.806010929,0.650273224,0.142076503,0.745901639,0.87704918,2.702185792
North Dakota,2021,77.15578783,1.049315068,0.301369863,1,0.093150685,0,0.249315068,0.942465753,2.890410959
North Dakota,2022,85.22130331,0.295890411,0,0.295890411,0,0,0,0.356164384,1
Ohio,2019,100,0,0,0,0,0,0,0,0
Ohio,2020,104.3278019,2.12295082,1.426229508,1.262295082,3.193989071,0.166666667,1.051912568,0.795081967,2.702185792
Ohio,2021,116.0126297,1.471232877,0.416438356,0.619178082,1.665753425,0,0.361643836,0.734246575,2.890410959
Ohio,2022,132.0466254,0.369863014,0,0,0,0,0,0.356164384,1
Oklahoma,2019,104.6411699,0,0,0,0,0,0,0,0
Oklahoma,2020,100,2.016393443,1.032786885,0.961748634,1.445355191,0.371584699,0.87704918,0.795081967,2.702185792
Oklahoma,2021,110.0897988,1.509589041,1,1,0.054794521,0.945205479,0.410958904,0.950684932,2.890410959
Oklahoma,2022,126.9024886,0.906849315,0.906849315,0.906849315,0,0.202739726,0.742465753,0.608219178,1
Oregon,2019,217.3960541,0,0,0,0,0,0,0,0
Oregon,2020,224.824663,2.073770492,1.653005464,1.590163934,3.040983607,0,1.008196721,0.909836066,2.702185792
Oregon,2021,100,1.276712329,0.791780822,1.112328767,1.97260274,0,0.526027397,0.704109589,2.890410959
Oregon,2022,114.1841183,0.594520548,0,0,0,0,0,0.356164384,1
Pennsylvania,2019,47.81434311,0,0,0,0,0,0,0,0
Pennsylvania,2020,49.52560048,2.027322404,1.467213115,1.349726776,2.724043716,0.56557377,1.005464481,0.918032787,2.702185792
Pennsylvania,2021,54.43884093,1.284931507,0.424657534,0.619178082,0.553424658,0,0.306849315,0.665753425,2.890410959
Pennsylvania,2022,100,1.02739726,0.060273973,0,0,0,0,0.356164384,1
Rhode Island,2019,114.011615,0,0,0,0,0,0,0,0
Rhode Island,2020,118.9354785,2.095628415,1.590163934,1.409836066,2.715846995,0,0.986338798,1.568306011,2.702185792
Rhode Island,2021,134.922752,1.046575342,0.920547945,0.778082192,1.509589041,0,0.490410959,0.794520548,2.890410959
Rhode Island,2022,156.3159942,1.063013699,0,0,0,0,0,0.356164384,1
South Carolina,2019,100,0,0,0,0,0,0,0,0
South Carolina,2020,103.4881871,1.68852459,1.035519126,1.030054645,1.729508197,0.196721311,0.871584699,0.871584699,2.702185792
South Carolina,2021,115.5854745,1.164383562,1,0.619178082,0.520547945,0,0.249315068,0.830136986,2.890410959
South Carolina,2022,138.2447697,0.238356164,0.219178082,0,0,0,0.328767123,0,1
South Dakota,2019,108.167608,0,0,0,0,0,0,0,0
South Dakota,2020,100,1.767759563,0.972677596,0.915300546,0.393442623,0,0.745901639,0.836065574,2.702185792
South Dakota,2021,111.2487727,0.832876712,0.301369863,0.619178082,0,0,0.249315068,0.690410959,2.890410959
South Dakota,2022,130.3240204,0.583561644,0,0,0,0,0,0.356164384,1
Tennessee,2019,94.06587521,0,0,0,0,0,0,0,0
Tennessee,2020,98.2344015,1.93989071,1.308743169,1.581967213,2.598360656,0.756830601,0.950819672,0.803278689,2.702185792
Tennessee,2021,100,1.065753425,0.82739726,0.668493151,1.24109589,0.273972603,0.249315068,0.931506849,2.890410959
Tennessee,2022,121.358945,0,0,0,0,0,0,0.356164384,1
Texas,2019,88.01764781,0,0,0,0,0,0,0,0
Texas,2020,90.88143476,1.964480874,1.647540984,1.606557377,2.904371585,0,0.953551913,0.942622951,2.702185792
Texas,2021,102.2553517,1.523287671,0.849315068,1.035616438,1.512328767,0,0.712328767,0.975342466,2.890410959
Texas,2022,100,0,0,0,0,0,0,0.364383562,1
Utah,2019,107.7302372,0,0,0,0,0,0,0,0
Utah,2020,113.60385,2.032786885,1.016393443,1.196721311,2.707650273,0,0.765027322,0.795081967,2.702185792
Utah,2021,135.0299795,1.156164384,1,0.621917808,0.084931507,0,0.249315068,0.728767123,2.890410959
Utah,2022,162.2232157,0.649315068,0.054794521,0,0,0,0,0.356164384,1
Vermont,2019,100,0,0,0,0,0,0,0,0
Vermont,2020,103.4243095,2.005464481,1.256830601,1.273224044,2.721311475,0,0.890710383,1.606557377,2.702185792
Vermont,2021,116.1478567,1.263013699,0.660273973,0.947945205,1.41369863,0,0.268493151,0.794520548,2.890410959
Vermont,2022,134.9561511,0.547945205,0,0,0,0,0,0.356164384,1
Virginia,2019,105.1258094,0,0,0,0,0,0,0,0
Virginia,2020,100,2.005464481,1.073770492,1.12568306,2.505464481,0,0.931693989,1.226775956,2.702185792
Virginia,2021,109.5366038,1.495890411,0.402739726,0.747945205,1.419178082,0,0.630136986,0.463013699,2.890410959
Virginia,2022,124.8966038,0.216438356,0,0,0,0,0,0.356164384,1
Washington,2019,186.5554717,0,0,0,0,0,0,0,0
Washington,2020,196.0709434,2.387978142,1.737704918,1.636612022,3.18852459,0.775956284,1.019125683,0.795081967,2.702185792
Washington,2021,100,1.783561644,0.654794521,0.654794521,1.854794521,0.493150685,0.38630137,0.446575342,2.890410959
Washington,2022,117.1247883,1,0,0,0,0,0,0.356164384,1
West Virginia,2019,21.76469798,0,0,0,0,0,0,0,0
West Virginia,2020,22.29159386,2.021857923,1.213114754,1.538251366,2.442622951,0,0.896174863,0.948087432,2.702185792
West Virginia,2021,24.05441006,0.98630137,0.301369863,0.947945205,0.887671233,0,0.336986301,0.975342466,2.890410959
West Virginia,2022,100,0.484931507,0,0,0,0,0,0.356164384,1
Wisconsin,2019,131.5238817,0,0,0,0,0,0,0,0
Wisconsin,2020,134.9583017,2.051912568,1.090163934,0.989071038,3.114754098,0.789617486,0.920765027,0.806010929,2.702185792
Wisconsin,2021,148.4912813,1.282191781,0.452054795,0.619178082,1.128767123,0.452054795,0.452054795,1,2.890410959
Wisconsin,2022,170.2956785,0.624657534,0,0,0,0,0,0.408219178,1
Wyoming,2019,100,0,0,0,0,0,0,0,0
Wyoming,2020,103.8046256,1.93442623,0.967213115,1.043715847,2.150273224,1.448087432,0.770491803,0.795081967,2.702185792
Wyoming,2021,113.6392859,0.753424658,0.301369863,0.619178082,1.093150685,2,0.249315068,1,2.890410959
Wyoming,2022,130.2276511,0.353424658,0,0,0,1.249315068,0,0.452054795,1
