"States and selected areas: Employment status of the civilian noninstitutional population, January 1976 to date, seasonally adjusted",,,,,,,,,,
"States and selected areas: Employment status of the civilian noninstitutional population,",,,,,,,,,,
"January 1976 to date, seasonally adjusted",,,,,,,,,,
,,,,,,,,,,
FIPS Code,State and area,Period,,Civilian non-institutional population,Civilian labor force,,,,,
53,Washington,2018,2,"5,910,714","3,773,943",63.8,"3,602,069",60.9,"171,874",4.6
54,West Virginia,2018,2,"1,461,688","789,870",54,"747,400",51.1,"42,470",5.4
55,Wisconsin,2018,2,"4,633,264","3,131,602",67.6,"3,039,863",65.6,"91,739",2.9
56,Wyoming,2018,2,"445,368","292,352",65.6,"280,213",62.9,"12,139",4.2
1,Alabama,2018,3,"3,904,426","2,228,062",57.1,"2,139,159",54.8,"88,903",4
2,Alaska,2018,3,"545,863","356,657",65.3,"334,582",61.3,"22,075",6.2
4,Arizona,2018,3,"5,405,490","3,293,381",60.9,"3,136,405",58,"156,976",4.8
5,Arkansas,2018,3,"2,318,359","1,342,246",57.9,"1,292,063",55.7,"50,183",3.7
6,California,2018,3,"30,920,855","19,250,782",62.3,"18,424,514",59.6,"826,268",4.3
37,Los Angeles County,2018,3,"8,083,148","5,123,580",63.4,"4,886,312",60.5,"237,268",4.6
8,Colorado,2018,3,"4,429,478","3,036,364",68.5,"2,947,535",66.5,"88,829",2.9
9,Connecticut,2018,3,"2,907,480","1,914,468",65.8,"1,836,742",63.2,"77,726",4.1
10,Delaware,2018,3,"770,119","480,082",62.3,"461,238",59.9,"18,844",3.9
11,District of Columbia,2018,3,"560,732","396,886",70.8,"373,837",66.7,"23,049",5.8
12,Florida,2018,3,"16,992,781","10,078,282",59.3,"9,692,793",57,"385,489",3.8
13,Georgia,2018,3,"8,065,811","5,133,066",63.6,"4,920,102",61,"212,964",4.1
15,Hawaii,2018,3,"1,123,413","694,874",61.9,"679,731",60.5,"15,143",2.2
16,Idaho,2018,3,"1,336,566","856,159",64.1,"831,543",62.2,"24,616",2.9
17,Illinois,2018,3,"10,135,551","6,557,860",64.7,"6,271,420",61.9,"286,440",4.4
18,Indiana,2018,3,"5,212,950","3,381,187",64.9,"3,269,097",62.7,"112,090",3.3
19,Iowa,2018,3,"2,471,274","1,703,856",68.9,"1,658,815",67.1,"45,041",2.6
20,Kansas,2018,3,"2,231,498","1,491,516",66.8,"1,440,755",64.6,"50,761",3.4
21,Kentucky,2018,3,"3,498,137","2,053,343",58.7,"1,966,889",56.2,"86,454",4.2
22,Louisiana,2018,3,"3,584,559","2,116,504",59,"2,014,483",56.2,"102,021",4.8
23,Maine,2018,3,"1,110,352","700,465",63.1,"679,393",61.2,"21,072",3
24,Maryland,2018,3,"4,816,195","3,263,605",67.8,"3,134,621",65.1,"128,984",4
25,Massachusetts,2018,3,"5,682,557","3,799,466",66.9,"3,661,664",64.4,"137,802",3.6
26,Michigan,2018,3,"8,020,854","4,938,501",61.6,"4,727,685",58.9,"210,816",4.3
27,Minnesota,2018,3,"4,406,401","3,072,565",69.7,"2,979,960",67.6,"92,605",3
28,Mississippi,2018,3,"2,281,067","1,269,912",55.7,"1,207,828",53,"62,084",4.9
29,Missouri,2018,3,"4,785,512","3,050,889",63.8,"2,946,937",61.6,"103,952",3.4
30,Montana,2018,3,"842,865","532,749",63.2,"512,377",60.8,"20,372",3.8
31,Nebraska,2018,3,"1,480,926","1,032,316",69.7,"1,002,615",67.7,"29,701",2.9
32,Nevada,2018,3,"2,342,755","1,480,296",63.2,"1,412,917",60.3,"67,379",4.6
33,New Hampshire,2018,3,"1,118,214","767,185",68.6,"746,413",66.8,"20,772",2.7
34,New Jersey,2018,3,"7,299,160","4,597,167",63,"4,400,669",60.3,"196,498",4.3
35,New Mexico,2018,3,"1,631,879","942,290",57.7,"895,868",54.9,"46,422",4.9
36,New York,2018,3,"16,205,155","9,812,713",60.6,"9,391,095",58,"421,618",4.3
51000,New York city,2018,3,"7,101,834","4,271,935",60.2,"4,092,876",57.6,"179,059",4.2
37,North Carolina,2018,3,"8,002,492","4,898,015",61.2,"4,700,339",58.7,"197,676",4
38,North Dakota,2018,3,"589,073","413,418",70.2,"402,846",68.4,"10,572",2.6
39,Ohio,2018,3,"9,257,432","5,808,545",62.7,"5,543,916",59.9,"264,629",4.6
40,Oklahoma,2018,3,"2,993,099","1,836,734",61.4,"1,772,089",59.2,"64,645",3.5
41,Oregon,2018,3,"3,355,358","2,079,994",62,"1,997,382",59.5,"82,612",4
42,Pennsylvania,2018,3,"10,378,403","6,489,525",62.5,"6,189,807",59.6,"299,718",4.6
44,Rhode Island,2018,3,"886,042","572,418",64.6,"548,147",61.9,"24,271",4.2
45,South Carolina,2018,3,"3,932,642","2,265,872",57.6,"2,187,356",55.6,"78,516",3.5
46,South Dakota,2018,3,"661,763","458,689",69.3,"445,415",67.3,"13,274",2.9
47,Tennessee,2018,3,"5,325,418","3,237,830",60.8,"3,123,754",58.7,"114,076",3.5
48,Texas,2018,3,"21,348,751","13,669,328",64,"13,119,215",61.5,"550,113",4
49,Utah,2018,3,"2,297,079","1,576,719",68.6,"1,529,817",66.6,"46,902",3
50,Vermont,2018,3,"529,417","355,659",67.2,"346,233",65.4,"9,426",2.7
51,Virginia,2018,3,"6,656,251","4,361,958",65.5,"4,222,034",63.4,"139,924",3.2
53,Washington,2018,3,"5,917,637","3,784,605",64,"3,614,503",61.1,"170,102",4.5
54,West Virginia,2018,3,"1,460,868","791,737",54.2,"749,438",51.3,"42,299",5.3
55,Wisconsin,2018,3,"4,635,000","3,133,530",67.6,"3,041,219",65.6,"92,311",2.9
56,Wyoming,2018,3,"445,350","292,549",65.7,"280,586",63,"11,963",4.1
1,Alabama,2018,4,"3,906,065","2,234,186",57.2,"2,144,935",54.9,"89,251",4
2,Alaska,2018,4,"545,791","356,476",65.3,"334,807",61.3,"21,669",6.1
4,Arizona,2018,4,"5,412,927","3,303,276",61,"3,147,822",58.2,"155,454",4.7
5,Arkansas,2018,4,"2,318,974","1,342,648",57.9,"1,293,298",55.8,"49,350",3.7
6,California,2018,4,"30,932,739","19,278,835",62.3,"18,461,288",59.7,"817,547",4.2
37,Los Angeles County,2018,4,"8,083,505","5,127,667",63.4,"4,891,425",60.5,"236,242",4.6
8,Colorado,2018,4,"4,435,772","3,046,082",68.7,"2,955,661",66.6,"90,421",3
9,Connecticut,2018,4,"2,908,160","1,918,644",66,"1,842,175",63.3,"76,469",4
10,Delaware,2018,4,"770,838","480,907",62.4,"462,460",60,"18,447",3.8
11,District of Columbia,2018,4,"561,043","397,377",70.8,"374,476",66.7,"22,901",5.8
12,Florida,2018,4,"17,011,084","10,097,841",59.4,"9,718,126",57.1,"379,715",3.8
13,Georgia,2018,4,"8,074,057","5,136,015",63.6,"4,926,847",61,"209,168",4.1
15,Hawaii,2018,4,"1,123,671","695,769",61.9,"680,222",60.5,"15,547",2.2
16,Idaho,2018,4,"1,339,123","858,335",64.1,"834,116",62.3,"24,219",2.8
17,Illinois,2018,4,"10,134,500","6,558,761",64.7,"6,276,908",61.9,"281,853",4.3
18,Indiana,2018,4,"5,215,736","3,394,029",65.1,"3,280,254",62.9,"113,775",3.4
19,Iowa,2018,4,"2,471,898","1,708,600",69.1,"1,664,626",67.3,"43,974",2.6
20,Kansas,2018,4,"2,231,945","1,493,526",66.9,"1,443,318",64.7,"50,208",3.4
21,Kentucky,2018,4,"3,498,980","2,056,434",58.8,"1,969,875",56.3,"86,559",4.2
22,Louisiana,2018,4,"3,584,345","2,118,479",59.1,"2,014,911",56.2,"103,568",4.9
23,Maine,2018,4,"1,110,815","701,613",63.2,"680,261",61.2,"21,352",3
24,Maryland,2018,4,"4,818,014","3,267,454",67.8,"3,140,413",65.2,"127,041",3.9
25,Massachusetts,2018,4,"5,685,615","3,813,006",67.1,"3,676,332",64.7,"136,674",3.6
26,Michigan,2018,4,"8,022,952","4,943,343",61.6,"4,738,451",59.1,"204,892",4.1
27,Minnesota,2018,4,"4,409,411","3,074,116",69.7,"2,983,197",67.7,"90,919",3
28,Mississippi,2018,4,"2,280,431","1,270,899",55.7,"1,208,847",53,"62,052",4.9
29,Missouri,2018,4,"4,786,577","3,051,864",63.8,"2,951,076",61.7,"100,788",3.3
30,Montana,2018,4,"843,535","533,807",63.3,"513,700",60.9,"20,107",3.8
31,Nebraska,2018,4,"1,481,706","1,034,270",69.8,"1,004,769",67.8,"29,501",2.9
32,Nevada,2018,4,"2,346,773","1,485,403",63.3,"1,419,234",60.5,"66,169",4.5
33,New Hampshire,2018,4,"1,118,829","769,506",68.8,"748,808",66.9,"20,698",2.7
34,New Jersey,2018,4,"7,302,220","4,603,634",63,"4,410,368",60.4,"193,266",4.2
35,New Mexico,2018,4,"1,632,374","943,456",57.8,"898,068",55,"45,388",4.8
36,New York,2018,4,"16,208,051","9,823,257",60.6,"9,412,158",58.1,"411,099",4.2
51000,New York city,2018,4,"7,103,348","4,271,853",60.1,"4,095,568",57.7,"176,285",4.1
37,North Carolina,2018,4,"8,010,516","4,906,470",61.3,"4,711,885",58.8,"194,585",4
38,North Dakota,2018,4,"589,297","413,191",70.1,"402,954",68.4,"10,237",2.5
39,Ohio,2018,4,"9,259,557","5,817,694",62.8,"5,553,048",60,"264,646",4.5
40,Oklahoma,2018,4,"2,993,836","1,836,649",61.3,"1,774,190",59.3,"62,459",3.4
41,Oregon,2018,4,"3,358,284","2,079,262",61.9,"1,998,035",59.5,"81,227",3.9
42,Pennsylvania,2018,4,"10,380,694","6,497,801",62.6,"6,205,079",59.8,"292,722",4.5
44,Rhode Island,2018,4,"886,501","573,339",64.7,"549,710",62,"23,629",4.1
45,South Carolina,2018,4,"3,936,735","2,270,009",57.7,"2,194,735",55.8,"75,274",3.3
46,South Dakota,2018,4,"662,107","459,246",69.4,"446,182",67.4,"13,064",2.8
47,Tennessee,2018,4,"5,330,045","3,246,778",60.9,"3,133,120",58.8,"113,658",3.5
48,Texas,2018,4,"21,373,127","13,698,765",64.1,"13,152,629",61.5,"546,136",4
49,Utah,2018,4,"2,301,392","1,580,206",68.7,"1,533,639",66.6,"46,567",2.9
50,Vermont,2018,4,"529,585","355,914",67.2,"346,783",65.5,"9,131",2.6
51,Virginia,2018,4,"6,659,536","4,364,905",65.5,"4,230,473",63.5,"134,432",3.1
53,Washington,2018,4,"5,925,001","3,794,684",64,"3,627,090",61.2,"167,594",4.4
54,West Virginia,2018,4,"1,460,100","793,427",54.3,"751,531",51.5,"41,896",5.3
55,Wisconsin,2018,4,"4,636,956","3,134,372",67.6,"3,041,152",65.6,"93,220",3
56,Wyoming,2018,4,"445,324","292,737",65.7,"280,917",63.1,"11,820",4
1,Alabama,2018,5,"3,907,744","2,238,566",57.3,"2,149,130",55,"89,436",4
2,Alaska,2018,5,"545,675","356,226",65.3,"334,894",61.4,"21,332",6
4,Arizona,2018,5,"5,420,337","3,312,067",61.1,"3,157,523",58.3,"154,544",4.7
5,Arkansas,2018,5,"2,319,552","1,342,443",57.9,"1,293,980",55.8,"48,463",3.6
6,California,2018,5,"30,944,064","19,295,169",62.4,"18,485,203",59.7,"809,966",4.2
37,Los Angeles County,2018,5,"8,083,566","5,127,576",63.4,"4,892,359",60.5,"235,217",4.6
8,Colorado,2018,5,"4,442,051","3,053,525",68.7,"2,961,309",66.7,"92,216",3
9,Connecticut,2018,5,"2,908,867","1,922,217",66.1,"1,846,935",63.5,"75,282",3.9
10,Delaware,2018,5,"771,520","481,147",62.4,"463,069",60,"18,078",3.8
11,District of Columbia,2018,5,"561,322","397,110",70.7,"374,472",66.7,"22,638",5.7
12,Florida,2018,5,"17,029,827","10,113,381",59.4,"9,739,894",57.2,"373,487",3.7
13,Georgia,2018,5,"8,082,086","5,135,036",63.5,"4,929,596",61,"205,440",4
15,Hawaii,2018,5,"1,123,906","695,842",61.9,"679,901",60.5,"15,941",2.3
16,Idaho,2018,5,"1,341,697","860,211",64.1,"836,240",62.3,"23,971",2.8
17,Illinois,2018,5,"10,133,438","6,557,649",64.7,"6,278,603",62,"279,046",4.3
18,Indiana,2018,5,"5,218,582","3,402,840",65.2,"3,287,610",63,"115,230",3.4
19,Iowa,2018,5,"2,472,544","1,711,978",69.2,"1,668,837",67.5,"43,141",2.5
20,Kansas,2018,5,"2,232,487","1,494,620",66.9,"1,444,886",64.7,"49,734",3.3
21,Kentucky,2018,5,"3,499,860","2,057,893",58.8,"1,971,050",56.3,"86,843",4.2
22,Louisiana,2018,5,"3,584,082","2,117,549",59.1,"2,013,112",56.2,"104,437",4.9
23,Maine,2018,5,"1,111,321","702,378",63.2,"680,528",61.2,"21,850",3.1
24,Maryland,2018,5,"4,819,714","3,269,331",67.8,"3,143,853",65.2,"125,478",3.8
25,Massachusetts,2018,5,"5,688,772","3,822,727",67.2,"3,687,349",64.8,"135,378",3.5
26,Michigan,2018,5,"8,025,213","4,944,678",61.6,"4,744,662",59.1,"200,016",4
27,Minnesota,2018,5,"4,412,550","3,074,263",69.7,"2,984,655",67.6,"89,608",2.9
28,Mississippi,2018,5,"2,279,781","1,270,811",55.7,"1,208,925",53,"61,886",4.9
29,Missouri,2018,5,"4,787,733","3,050,840",63.7,"2,953,143",61.7,"97,697",3.2
30,Montana,2018,5,"844,247","534,614",63.3,"514,707",61,"19,907",3.7
31,Nebraska,2018,5,"1,482,532","1,035,688",69.9,"1,006,243",67.9,"29,445",2.8
32,Nevada,2018,5,"2,350,796","1,489,709",63.4,"1,424,714",60.6,"64,995",4.4
33,New Hampshire,2018,5,"1,119,451","771,118",68.9,"750,585",67,"20,533",2.7
34,New Jersey,2018,5,"7,305,284","4,608,051",63.1,"4,417,829",60.5,"190,222",4.1
35,New Mexico,2018,5,"1,632,860","944,196",57.8,"899,482",55.1,"44,714",4.7
36,New York,2018,5,"16,210,903","9,829,787",60.6,"9,428,753",58.2,"401,034",4.1
51000,New York city,2018,5,"7,104,573","4,268,705",60.1,"4,095,441",57.6,"173,264",4.1
37,North Carolina,2018,5,"8,018,504","4,911,991",61.3,"4,719,136",58.9,"192,855",3.9
38,North Dakota,2018,5,"589,484","412,583",70,"402,699",68.3,"9,884",2.4
39,Ohio,2018,5,"9,261,775","5,823,748",62.9,"5,560,130",60,"263,618",4.5
40,Oklahoma,2018,5,"2,994,578","1,834,793",61.3,"1,774,569",59.3,"60,224",3.3
41,Oregon,2018,5,"3,361,266","2,077,839",61.8,"1,997,707",59.4,"80,132",3.9
42,Pennsylvania,2018,5,"10,383,171","6,503,837",62.6,"6,217,321",59.9,"286,516",4.4
44,Rhode Island,2018,5,"886,963","573,839",64.7,"550,761",62.1,"23,078",4
45,South Carolina,2018,5,"3,940,784","2,274,103",57.7,"2,200,403",55.8,"73,700",3.2
46,South Dakota,2018,5,"662,462","459,537",69.4,"446,680",67.4,"12,857",2.8
47,Tennessee,2018,5,"5,334,740","3,253,270",61,"3,140,122",58.9,"113,148",3.5
48,Texas,2018,5,"21,397,027","13,717,335",64.1,"13,176,416",61.6,"540,919",3.9
49,Utah,2018,5,"2,305,729","1,582,877",68.6,"1,536,566",66.6,"46,311",2.9
50,Vermont,2018,5,"529,780","355,989",67.2,"347,144",65.5,"8,845",2.5
51,Virginia,2018,5,"6,662,762","4,362,496",65.5,"4,233,868",63.5,"128,628",2.9
53,Washington,2018,5,"5,932,373","3,802,817",64.1,"3,637,867",61.3,"164,950",4.3
54,West Virginia,2018,5,"1,459,408","794,520",54.4,"753,131",51.6,"41,389",5.2
55,Wisconsin,2018,5,"4,639,055","3,132,751",67.5,"3,038,761",65.5,"93,990",3
56,Wyoming,2018,5,"445,346","292,808",65.7,"281,065",63.1,"11,743",4
1,Alabama,2018,6,"3,909,702","2,241,402",57.3,"2,152,116",55,"89,286",4
2,Alaska,2018,6,"545,656","355,900",65.2,"334,808",61.4,"21,092",5.9
4,Arizona,2018,6,"5,428,220","3,320,195",61.2,"3,165,561",58.3,"154,634",4.7
5,Arkansas,2018,6,"2,320,405","1,341,964",57.8,"1,294,216",55.8,"47,748",3.6
6,California,2018,6,"30,958,017","19,300,178",62.3,"18,495,575",59.7,"804,603",4.2
37,Los Angeles County,2018,6,"8,083,634","5,123,652",63.4,"4,889,001",60.5,"234,651",4.6
8,Colorado,2018,6,"4,448,692","3,058,408",68.7,"2,964,578",66.6,"93,830",3.1
9,Connecticut,2018,6,"2,909,766","1,924,895",66.2,"1,850,699",63.6,"74,196",3.9
10,Delaware,2018,6,"772,278","480,875",62.3,"463,154",60,"17,721",3.7
11,District of Columbia,2018,6,"561,617","396,235",70.6,"373,972",66.6,"22,263",5.6
12,Florida,2018,6,"17,049,926","10,124,402",59.4,"9,757,459",57.2,"366,943",3.6
13,Georgia,2018,6,"8,090,732","5,130,580",63.4,"4,928,630",60.9,"201,950",3.9
15,Hawaii,2018,6,"1,124,239","695,111",61.8,"678,752",60.4,"16,359",2.4
16,Idaho,2018,6,"1,344,391","861,773",64.1,"837,884",62.3,"23,889",2.8
17,Illinois,2018,6,"10,133,166","6,555,485",64.7,"6,277,389",61.9,"278,096",4.2
18,Indiana,2018,6,"5,221,880","3,406,827",65.2,"3,290,515",63,"116,312",3.4
19,Iowa,2018,6,"2,473,443","1,713,875",69.3,"1,671,232",67.6,"42,643",2.5
20,Kansas,2018,6,"2,233,200","1,494,721",66.9,"1,445,332",64.7,"49,389",3.3
21,Kentucky,2018,6,"3,501,036","2,057,555",58.8,"1,970,474",56.3,"87,081",4.2
22,Louisiana,2018,6,"3,584,064","2,114,318",59,"2,009,891",56.1,"104,427",4.9
23,Maine,2018,6,"1,111,870","702,617",63.2,"680,222",61.2,"22,395",3.2
24,Maryland,2018,6,"4,821,830","3,269,322",67.8,"3,145,249",65.2,"124,073",3.8
